Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Bachelor vs Master’s & Doctoral,BA vs MD,1.34531477249117,1.1955835962145112,1.0273972602739725,0.1250868658790827,2.2222222222222223,0.596252129471891,0.2721291866028708
Basic education vs Bachelor,BE vs BA,2.1036775399958443,1.4605678233438488,2.6027397260273974,2.678943710910355,2.2222222222222223,2.39068710959682,2.191985645933014
Basic education vs High school & equivalent,BE vs HS,1.3027217951381675,1.5709779179810726,1.2328767123287672,1.2890896455872134,1.1111111111111112,1.2350936967632027,1.0810406698564592
Basic education vs Master’s & Doctoral,BE vs MD,2.7363390816538553,1.6782334384858044,2.534246575342466,2.804030576789438,3.3333333333333335,2.9869392390687106,2.4641148325358846
Basic education vs Short-cycle tertiary,BE vs SCT,1.2310409308123833,1.0599369085173502,1.2328767123287672,2.0952050034746352,1.6666666666666667,2.0925610448608745,1.8151913875598082
High school & equivalent vs Bachelor,HS vs BA,1.2227301059630171,1.3470031545741323,1.3698630136986303,1.389854065323141,1.1111111111111112,1.1555934128336174,1.1109449760765548
High school & equivalent vs Master’s & Doctoral,HS vs MD,1.8408477041346352,1.6593059936908519,1.3013698630136983,1.5149409312022237,2.2222222222222223,1.7518455423055084,1.3830741626794258
High school & equivalent vs Short-cycle tertiary,HS vs SCT,0.9609391232079786,1.2176656151419558,1.095890410958904,0.806115357887422,0.5555555555555556,0.8574673480976718,1.2365430622009568
Short-cycle tertiary vs Bachelor,SCT vs BA,0.9889881570745901,1.6372239747634068,2.191780821917808,0.5837387074357192,0.5555555555555556,0.5366269165247018,0.46052631578947356
Short-cycle tertiary vs Master’s & Doctoral,SCT vs MD,1.5634739247870348,1.3249211356466877,2.1232876712328768,0.708825573314802,2.7777777777777777,0.8943781942078365,0.6489234449760765
